uri,reg:hasSubClass,reg:hasSubproperty,reg:hasUnconstrained,reg:name@en,reg:status,rdf:type[0],rdfs:domain,rdfs:isDefinedBy,rdfs:label@en[0],rdfs:label@es[0],rdfs:label@es[1],rdfs:label@es[2],rdfs:range,rdfs:subClassOf,rdfs:subPropertyOf,owl:inverseOf,skos:definition@en[0],skos:definition@es[0],skos:scopeNote@en[0],skos:scopeNote@en[1],skos:scopeNote@es[0]
isbd:elements/C2009,,,,SeriesAndMultipartMonographicResourceAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Series And Multipart Monographic Resource Area Encoding Scheme,Esquema de codificación del área de serie y recurso monográfico multiparte,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the series and multipart monographic resource area (Area 6).,Esquema de codificación utilizado para el área de serie y recurso monográfico multiparte (Área 6).,,,
isbd:elements/C2010,,,,NoteAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Note Area Encoding Scheme,Esquema de codificación del área de notas,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the note area (Area 7).,Esquema de codificación utilizado para el área de notas (Área 7).,,,
isbd:elements/C2011,,,,ResourceIdentifierAndTermsOfAvailabilityAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Resource Identifier And Terms Of Availability Area Encoding Scheme,Esquema de codificación del área de identificador del recurso y condiciones de disponibilidad,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the resource identifier and terms of availability area (Area 8).,Esquema de codificación utilizado para el área de identificador del recurso y condiciones de disponibilidad (Área 8).,,,
isbd:elements/C2012,,,,MathematicalDataAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Mathematical Data Area Encoding Scheme,Esquema de codificación del área de datos matemáticos,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the mathematical data area (Area 3 for cartographic resources).,Esquema de codificación utilizado para el área de datos matemáticos (Área 3 de recursos cartográficos).,,,
isbd:elements/C2013,,,,MusicFormatStatementAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Music Format Statement Area Encoding Scheme,Esquema de codificación del área de mención de formato musical ,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the music format statement area (Area 3 for notated music resources).,Esquema de codificación utilizado para el área de mención de formato musical (Área 3 para recursos de música notada).,,,
isbd:elements/C2014,,,,NumberingAreaEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Numbering Area Encoding Scheme,Esquema de codificación del área de numeración,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the numbering area (Area 3 for serials).,Esquema de codificación utilizado para  el área de numeración (Área 3 de publicaciones periódicas).,,,
isbd:elements/C2015,,,,SpecificMaterialDesignationAndExtentEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Specific Material Designation And Extent Encoding Scheme,Esquema de codificación de designación específica del material y extensión,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the specific material designation and extent.,Esquema de codificación utilizado para la designación específica del material y extensión.,,,
isbd:elements/C2016,,,,OtherPhysicalDetailsEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Other Physical Details Encoding Scheme,Esquema de codificación de otros detalles físicos,,,,isbd:elements/C2002,,,Syntax encoding scheme for other physical details.,Esquema de codificación utilizada para otros detalles físicos.,,,
isbd:elements/C2017,,,,StatementOfCoordinatesAndEquinoxEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Statement Of Coordinates And Equinox Encoding Scheme,Esquema de codificación de la mención de coordenadas y equinoccio,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the statement of coordinates and equinox.,,,,
isbd:elements/C2018,,,,PlaceOfPublicationProductionDistributionStatementEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,"Place Of Publication, Production, Distribution Statement Encoding Scheme","Esquema de codificación de mención de lugar de publicación, producción o distribución",,,,isbd:elements/C2002,,,"Syntax Encoding Scheme for the place of publication, production, distribution statement.","Esquema de codificación utilizada para la mención de lugar de publicación, producción o distribución.",,,
isbd:elements/C2019,,,,NameOfPublisherProducerDistributorStatementEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,"Name Of Publisher, Producer, Distributor Statement Encoding Scheme","Esquema de codificación de mención del nombre del editor, productor o distribuidor",,,,isbd:elements/C2002,,,"Syntax Encoding Scheme for the name of publisher, producer, distributor statement.","Esquema de codificación utilizada para la mención del nombre del editor, productor o distribuidor.",,,
isbd:elements/C2020,,,,StatementOfPrintingOrManufactureEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Statement Of Printing Or Manufacture Encoding Scheme,Esquema de codificación de mención de impresión o fabricación,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the statement of printing or manufacture.,Esquema de codificación utilizado para  la mención de impresión o fabricación.,,,
isbd:elements/C2022,,,,TitleProperCompoundOfSeriesOrMultipartMonographicResourceEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Title Proper (Compound) Of Series Or Multipart Monographic Resource Encoding Scheme,Esquema de codificación del título propiamente dicho (compuesto) de serie,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the title proper (compound) of a series or multipart monographic resource.,Esquema de codificación utilizado para el título propiamente dicho (compuesto) de serie o recurso monográfico multiparte.,,,
isbd:elements/C2024,,,,ParallelTitleCompoundOfSeriesOrMultipartMonographicResourceEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Parallel Title (Compound) Of Series Or Multipart Monographic Resource Encoding Scheme,Esquema de codificación del título paralelo (compuesto) de serie o recurso monográfico multiparte,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the parallel title (compound) of a series or multipart monograph.,Esquema de codificación utilizado para el título paralelo (compuesto) de serie o recurso monográfico multiparte.,,,
isbd:elements/C2027,,,,TermsOfAvailabilityStatementEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Terms Of Availability Statement Encoding Scheme,,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the terms of availability statement.,,,,
isbd:elements/C2028,,,,ResourceIdentifierStatementEncodingScheme,RegStatus:1001,owl:Class,,isbd:elements/,Resource Identifier Statement Encoding Scheme,,,,,isbd:elements/C2002,,,Syntax Encoding Scheme for the resource identifier statement.,,,,
isbd:elements/C2001,,,,Resource,RegStatus:1001,owl:Class,,isbd:elements/,Resource,Recurso,,,,,,,"An entity, tangible or intangible, that comprises intellectual and/or artistic content and is conceived, produced and/or issued as a unit, forming the basis of a single bibliographic description.","Una entidad, tangible o intangible, que tiene contenido artístico y/o intelectual y que está concebida, producida y/o publicada como una unidad, formando la base de una descripción bibliográfica individual.","Includes text, music, still and moving images, graphics, maps, sound recordings and video recordings, electronic data or programs, including those issued serially.",,"Incluye texto, música, imágenes fijas y en movimiento, gráficos, mapas, grabaciones sonoras y videograbaciones, programas o datos electrónicos, incluyendo aquellos editados periódicamente."
isbd:elements/P1025,,,isbd:unc/elements/P1025,hasAccompanyingMaterialStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has accompanying material statement,tiene mención de material anejo,,,,,,,Relates a resource to a statement on accompanying material (any physically separable part of the resource that is issued (or intended to be issued) at the same time and intended to be used with the resource).,Relaciona un recurso con una mencion de material anejo (cualquier parte separada físicamente del recurso que se ha publicado (o existe intención de que se publique) al mismo tiempo y destinado para ser utilizado con el recurso).,,,
isbd:elements/P1011,,,isbd:unc/elements/P1011,hasAdditionalEditionStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has additional edition statement,tiene mención de edición adicional,,,,,,,"Relates a resource to a statement identifying it as belonging to an edition or impression within an edition, or to an edition that is equivalent to the first named edition, or when the resource has significant differences in content from other impressions of the larger edition to which it belongs.","Relaciona un recurso a una mención que lo identifica como perteneciente a una edición o impresión dentro de una edición, o a una edición equivalente a la primera edición mencionada, o cuando el recurso presenta diferencias significativas de contenido con respecto a otras impresiones de la edición más amplia a la que pertenece.",,,
isbd:elements/P1151,,,isbd:unc/elements/P1151,hasAdditionToParallelPlaceOfPublication,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has addition to parallel place of publication,tíene título propiamente dicho de monografía multiparte,tiene adición al lugar de publicación paralelo,,,,,,"Relates a resource to the name of a larger place such as a country, state, etc. and, if it is considered necessary for identification, the full address of the publisher, producer or distributor, in the language and script of the title proper when the name appears on the prescribed source of information for the resource in more than one language or script.","Relaciona un recurso con el nombre de un lugar de mayor rango como por ejemplo, páis, estado, etc., y, si se considera necesario para la identificación, la dirección completa del editor, productor o distribuidor, en la lengua y escritura del título propiamente dicho cuando el nombre aparece en la fuente prescrita de información para el recurso en más de una lengua o escritura.",,,
isbd:elements/P1144,,,isbd:unc/elements/P1144,hasAdditionToPlaceOfPublication,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has addition to place of publication,tiene adición al lugar de publicación,,,,,,,"Relates a resource to the name of a larger place such as a country, state, etc. and, if it is considered necessary for identification, the full address of the publisher, producer or distributor.","Relaciona un recurso con el nombre de un lugar de mayor rango, como un país, estado, etc., y, si se considera necesario para su identificación, la dirección completa del editor, productor o distribuidor.",,,
isbd:elements/P1122,,,isbd:unc/elements/P1122,hasBibliographicFormatOfOlderMonographicResource,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has bibliographic format of older monographic resource,tiene formato bibliográfico de recurso monográfico antiguo,,,,,,,Relates a resource that is an older monographic resource to a standard designation as chosen by the cataloguing agency.,Relaciona un recurso que es un recurso monográfico antiguo con una designación normalizada elegida por la agencia de catalogación.,"e.g. 1 °, 2 °, 4 °, 8 °, 12 °, etc. Includes the height of the outer case, measured parallel to the spine, or of the resource when it is not bound, if it can be established that the resource is in a standardized publisher's binding or in publisher's wrappers. Includes the assumed format followed by a question mark when the format cannot be determined. Excludes dimensions if it cannot be established that the resource is in a standardized publisher's binding or in publisher's wrappers.",,"Por ejemplo: 1º, 2º, 4º, 8º, 12º, etc. Incluye la altura de la cubierta exterior de la publicación, medida paralelamente al lomo, o la del recurso cuando no está encuadernado, si se puede establecer que el recurso tiene una encuadernación normalizada del editor. Incluye el formato supuesto, seguido de interrogación, cuando no se ha podido determinar el formato. Se excluyen las dimensiones si no se puede establecer que el recurso tiene la encuadernación o envoltorio normalizado por el editor."
isbd:elements/P1157,,,isbd:unc/elements/P1157,hasChronologicalDesignation,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has chronological designation,tiene designación cronológica,,,,,,,Relates a resource that is a serial to its chronological designation.,Relaciona un recurso que es una publicación seriada con su designación cronológica.,Words in the designation may be abbreviated.,,Las palabras en la designación pueden abreviarse.
isbd:elements/P1182,,,isbd:unc/elements/P1182,hasCommonTitleOfParallelTitle,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has common title of parallel title,tiene título común de título paralelo,,,,,,,"Relates a resource to that part of the title that is carried by a group of related resources in addition to their different section titles, presented on the preferred source of information for the resource as an equivalent in another language or script.","Relaciona un recurso con aquella parte del título que es común a un grupo de recursos relacionados, que además tiene sus diferentes títulos de sección, presentado como equivalente en otra lengua o escritura en la fuente de información preferida del recurso.",,,
isbd:elements/P1147,,,isbd:unc/elements/P1147,hasCommonTitleOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has common title of series or multipart monographic resource,tiene título común de serie o recurso monográfico multiparte,,,,,,,Relates a resource that is a series or multipart monographic resource to that part of the title that is carried by a group of related resources in addition to their different section titles.,Relaciona un recurso que es una serie o recurso monográfico multiparte con aquella parte del título que es común a un grupo de recursos relacionados que tienen también sus títulos de sección diferentes.,,,
isbd:elements/P1137,,,isbd:unc/elements/P1137,hasCommonTitleOfTitleProper,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has common title of title proper,tiene título común de título propiamente dicho,,,,,,,Relates a resource to that part of the title that is carried by a group of related resources in addition to their different section titles.,Relaciona un recurso con aquella parte del título que es común a un grupo de recursos relacionados que tienen además sus diferentes títulos de sección.,The common title serves to indicate this relationship in a group of resources and together with the section title identifies a given resource. The common title may also be common to a main resource and its supplement or supplements and to a main series and its subseries when the supplement or supplements or subseries have a dependent title or titles.,,"El título común sirve para indicar esta relación de un grupo de recursos y, junto con el título de sección, identifica un recurso dado. El título común también puede ser común a un recurso principal y su suplemento o suplementos y a una serie principal y sus subseries cuando el suplemento o suplementos o las subseries tienen un título o títulos dependientes."
isbd:elements/P1056,,,isbd:unc/elements/P1056,hasCompositionOfMaterial,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has composition of material,tiene composición de material,,,,,,,Relates a resource to a word or phrase indicating the material of which it is composed.,Relaciona un recurso con una palabra o frase que indica el material del que está compuesto.,,,
isbd:elements/P1181,,,isbd:unc/elements/P1181,hasCompoundTitleOfParallelTitle,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has compound title of parallel title,tiene título compuesto de título paralelo,,,isbd:elements/C2025,,,,"Relates a resource to the title proper consisting of a common title and a dependent title, with or without a dependent title designation, presented on the prescribed sources of information for the resource as an equivalent in another language or script.","Relaciona un recurso con un título propiamente dicho consistente en un título común y un título dependiente, con o sin designación de título dependiente, presentado como equivalente en otra lengua o escritura en la fuente de información preferida del recurso.",,,
isbd:elements/P1171,,,isbd:unc/elements/P1171,hasCompoundTitleOfTitlePrope,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has compound title of title proper,tiene título compueso de propiamente dicho,,,isbd:elements/C2021,,,,"Relates a resource to the title proper consisting of a common title and a dependent title, with or without a dependent title designation.","Relaciona un recurso con un título propiamente dicho consistente en un título común y un título dependiente, con o sin designación de título dependiente.",,,
isbd:elements/P1001,,,isbd:unc/elements/P1001,hasContentForm,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has content form,tiene forma del contenido,,,,,,,Relates a resource to a category that reflects the fundamental form or forms in which the content is expressed.,Relaciona un recurso con una categoría que refleja la forma o formas fundamentales en que se expresa el contenido.,,,
isbd:elements/P1158,,,isbd:unc/elements/P1158,hasContentFormAndMediaTypeArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has content form and media type area,tiene área de forma del contenido y de tipo de medio,,,isbd:elements/C2003,,,,"Relates a resource to one or more statements each comprising three elements, each taken from closed lists: the content form, one or more terms reflecting the fundamental form or forms in which the content of a resource is expressed; the content qualification, specifying the type, sensory nature, dimensionality, and/or presence or absence of motion for the resource being described; and  the media type, indicating the type or types of carrier used to convey the content of the resource.","Relaciona un recurso con una mención que comprende tres elementos, cada uno tomado de listas cerradas: la forma del contenido, que son uno o más términos que reflejan la forma o formas fundamentales en que se expresa el contenido del recurso; la calificación del contenido, que especifica el tipo, naturaleza sensorial, dimensiones y/o la presencia/ausencia de movimiento en el recurso que se describe; y el tipo de medio, que indica el tipo o tipos de soporte utilizados para transmitir el contenido del recurso.",,,
isbd:elements/P1185,,,isbd:unc/elements/P1185,hasContentFormAndMediaTypeStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has content form and media type statement,tiene mención de forma del contenido y de tipo de medio,,,isbd:elements/C2026,,,,"Relates a resource to a statement comprising three elements, each taken from closed lists: the content form, one or more terms reflecting the fundamental form or forms in which the content of a resource is expressed; the content qualification, specifying the type, sensory nature, dimensionality, and/or presence or absence of motion for the resource being described; and the media type, indicating the type or types of carrier used to convey the content of the resource.","Relaciona un recurso con una mención que comprende tres elementos, cada uno tomado de listas cerradas: la forma del contenido, que son uno o más términos que reflejan la forma o formas fundamentales en que se expresa el contenido del recurso; la calificación del contenido, que especifica el tipo, naturaleza sensorial, dimensiones y/o la presencia/ausencia de movimiento en el recurso que se describe; y el tipo de medio, que indica el tipo o tipos de soporte utilizados para transmitir el contenido del recurso.",,,
isbd:elements/P1002,,,isbd:unc/elements/P1002,hasContentQualification,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has content qualification,tiene aclaración de contenido,,,,,,,Relates a resource to a sub-category that expands a category that reflects the fundamental form or forms in which the content is expressed.,Relaciona un recurso con una subcategoría que amplía una categoría que refleja la forma o formas fundamentales en que se expresa el contenido.,"Content qualifications specify the type, presence or absence of motion, dimensionality and sensory nature for the resource being described.",,"Los calificativos del contenido especifican el tipo, presencia o ausencia de movimiento, dimensión y naturaleza sensorial del recurso que se describe."
isbd:elements/P1050,,isbd:elements/P1155,isbd:unc/elements/P1050,hasCoordinates,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has coordinates,tiene coordenadas,,,,,,,Relates a resource that is cartographic to its coordinates (the quantities of latitude and longitude that define the position of points on the surface of the Earth or other celestial sphere that delimit the greatest extent of the area covered).,Relaciona un recurso cartográfico con sus coordenadas (las medidas de latitud y longitud que definen la posición de puntos sobre la superficie de la Tierra u otra esfera celeste que delimita la mayor extensión del área cubierta).,,,
isbd:elements/P1155,,,isbd:unc/elements/P1155,hasLongitudeAndLatitude,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has longitude and latitude,tiene longitud y latitud,,,,,isbd:elements/P1050,,"Relates a resource that is a  terrestrial map to its coordinates expressed in decimal degrees or degrees (°), minutes (′) and seconds (″) of the sexagesimal system (360° circle) (with longitude always taken from the Greenwich prime meridian) in the order of longitude of westernmost extent, longitude of easternmost extent, latitude of northernmost extent , and latitude of southernmost extent, preceded by the appropriate initials for West (W), East (E), North (N) and South (S) or their equivalents in another language or script. Relates a resource that is a map of another celestial body to its coordinates in its coordinate system.","Relaciona un recurso que es un mapa terrestre con sus coordenadas expresadas en grados decimales o en grados (º), minutos (´) y segundos (´´) del sistema sexagesimal (círculo de 360º) (con la longitud tomada siempre a partir del meridiano cero de Greeenwich) en el orden: punto de longitud más occidental, punto de longitud más oriental, latitud del punto más septentrional y latitud del punto más meridional, precedido por las iniciales apropiadas Oeste (O), Este (E), Norte (N) y Sur (S) o sus equivalentes en otra lengua o escritura. Relaciona un recurso que es un mapa de un cuerpo celeste con sus coordenadas en su sistema correspondiente.",,,
isbd:elements/P1051,,,isbd:unc/elements/P1051,hasRightAscensionAndDeclination,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has right ascension and declination,tiene ascensión recta y declinación,,,,,isbd:elements/P1050,,"Relates a resource that is cartographic to its right ascension (the angular distance measured eastward on the Equator from the vernal equinox to the hour circle through the celestial body, from 0 to 24 hours), and declination (the angular distance to a body on the celestial sphere measured north or south through 90 degrees from the celestial equator along the hour circle of the body; comparable to latitude on the terrestrial sphere).","Relaciona un recurso cartográfico con su ascensión recta (la distancia angular medida desde el Equinoccio de primavera hacia el Este a lo largo del Ecuador, al círculo horario a través del cuerpo celeste, en valores de 0 a 24 horas) y la declinación (la distancia angular de  un cuerpo sobre la esfera celeste medida en 90 grados Norte o Sur, con el Ecuador celeste a través del círculo horario del cuerpo celeste; comparable a la latitud de la esfera terrestre).",Applies also to celestial charts.,,Aplicar también a las cartas celestes.
isbd:elements/P1021,,,isbd:unc/elements/P1021,hasDateOfPrintingOrManufacture,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has date of printing or manufacture,tiene fecha de impresión o fabricación,,,,,,,"Relates a resource to the date on which it is printed or manufactured, usually given in the form of a year.","Relaciona un recurso con la fecha en la que se imprime o fabrica, normalmente se da en la forma de un año.",,,
isbd:elements/P1018,,,isbd:unc/elements/P1018,hasDateOfPublicationProductionDistribution,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,"has date of publication, production, distribution","tiene fecha de publicación, producción, distribución",,,,,,,"Relates a resource to the date on which it is officially offered for sale or distribution to the public, usually given in the form of a year.","Relaciona un recurso con la fecha en que oficialmente se ha ofrecido para la venta o distribución al público, normalmente se da en la forma de un año.",,,
isbd:elements/P1184,,,isbd:unc/elements/P1184,hasDependentTitleDesignationOfParallelTitle,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title designation of parallel title,tiene designación de título dependiente de título paralelo,,,,,,,"Relates a resource to numbering that alone or in conjunction with a dependent title serves to distinguish it from one or more related resources having a common title, presented on the preferred source of information for the resource as an equivalent in another language or script.","Relaciona un recurso con la numeración que por sí sola o en conjunción con un título dependiente sirve para distinguir un recurso de dos o más recursos relacionados que tienen un título común, presentada como equivalente en otra lengua o escritura en la fuente de información preferida del recurso.",,,
isbd:elements/P1149,,,isbd:unc/elements/P1149,hasDependentTitleDesignationOfSeriesOrMultipartMonogaphicResource,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title designation of series or multipart monographic resource,tiene designación de título dependiente de serie o recurso monográfico multiparte,,,,,,,Relates a resource that is a series or multipart monographic resource to numbering that alone or in conjunction with a dependent title serves to distinguish one of two or more related resources having a common title.,Relaciona un recurso que es una serie o recurso monográfico multiparte con una numeración que por sí sola o en conjunción con un título dependiente sirve para distinguir uno de dos o más recursos relacionados que tienen un título común.,,,
isbd:elements/P1139,,,isbd:unc/elements/P1139,hasDependentTitleDesignationOfTitleProper,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title designation of title proper,tiene designación de título dependiente de título propiamente dicho,,,,,,,Relates a resource to numbering that alone or in conjunction with a dependent title serves to distinguish it from one or more related resources having a common title.,Relaciona un recurso con la numeración que por sí sola o en conjunción con un título dependiente sirve para distinguirlo de uno o más recursos relacionados que tienen un título común.,,,
isbd:elements/P1183,,,isbd:unc/elements/P1183,hasDependentTitleOfParallelTitle,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title of parallel title,tiene título dependiente de título paralelo,,,,,,,"Relates a resource to a title that by itself is insufficient to identify the resource and that requires the addition of the common title, or the title of the main resource or the title of the main series, presented on the preferred source of information for the resource as an equivalent in another language or script.","Relaciona un recurso con un título que por sí mismo es insuficiente para identificar el recurso y que requiere de la adición el título común, o del título del recurso principal o del título de la serie principal, presentado como equivalente en otra lengua o escritura en la fuente de información preferida del recurso.",,,
isbd:elements/P1148,,,isbd:unc/elements/P1148,hasDependentTitleOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title of series or multipart monographic resource,tiene título dependiente de serie o recurso monográfico multiparte,,,,,,,"Relates a resource that is a series or multipart monographic resource to a title that by itself is insufficient to identify the resource and that requires the addition of the common title, or the title of the main resource or the title of the main series.","Relaciona un recurso que es una serie o recurso monográfico multiparte con un título que por sí mismo es insuficiente para identificar el recurso y que requiere la adición del título común, o el título del recurso principal o el título de la serie principal.",,,
isbd:elements/P1138,,,isbd:unc/elements/P1138,hasDependentTitleOfTitleProper,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dependent title of title proper,tiene título dependiente de título propiamente dicho,,,,,,,"Relates a resource to a title that by itself is insufficient to identify the resource and that requires the addition of the common title, or the title of the main resource or the title of the main series.","Relaciona un recurso con un título que por sí mismo es insuficiente para identificar el recurso y que requiere la adición del título común, o del título del recurso principal o del título de la serie principal.","Examples are section titles, some titles of individual sheets of a map series, some supplement titles and some titles of subseries and the titles of some parts of a multipart monographic resource.",,"Ejemplos de esto son los títulos de sección, algunos títulos de hojas individuales de series de mapas, algunos títulos de suplementos, algunos títulos de subseries y los títulos de algunas partes de un recurso monográfico multiparte."
